NUM_THREADS,"schedule: STATIC,100","schedule: dynamic,100",schedule: STATIC,"schedule: dynamic,100000"
1,0.5509304,0.5496256,0.5477514,0.5491398
2,0.8719274,0.594191,0.2709338,0.325432
3,0.5938996,0.5399136,0.1922784,0.2314008
4,0.4855074,0.4715384,0.1447408,0.1853784
5,0.3912328,0.399056,0.128857,0.1579064
6,0.323077,0.3414616,0.1176266,0.1391308
7,0.3041494,0.2879464,0.1054494,0.1228406
8,0.2541616,0.2542996,0.0865806,0.1286758
9,0.2414272,0.2563502,0.0961488,0.1131972
10,0.2193448,0.23703,0.0878122,0.1112186
11,0.205864,0.2276456,0.0817584,0.1081966
12,0.1873244,0.2141606,0.0797448,0.0973872
13,0.1895488,0.2005586,0.0732838,0.0992232
14,0.1761332,0.188355,0.0716808,0.099315
15,0.1655764,0.1907526,0.0736244,0.0954552
16,0.1601558,0.185513,0.0652754,0.0899466
